time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449250000	18.5684	17.4246	4.7757	2.22402	0.509226	radar	6.28984	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3584	17.6129	4.82333	2.27023	0.530878	lidar	3.78563	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2212	17.8062	4.81621	2.26607	0.450462	radar	1.8936	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0922	17.9947	4.80084	2.27862	0.439587	lidar	0.881919	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9143	18.1474	4.78825	2.33151	0.51434	radar	2.40871	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7825	18.2936	4.73095	2.35202	0.510681	lidar	1.15541	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6477	18.476	4.71844	2.35768	0.476683	radar	6.505	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4572	18.656	4.75425	2.38415	0.478312	lidar	0.43977	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2746	18.7965	4.74198	2.42539	0.519266	radar	1.92671	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1131	18.9347	4.70865	2.44978	0.518715	lidar	0.366985	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9456	19.1051	4.71549	2.4605	0.491071	radar	2.92439	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7297	19.22	4.71478	2.50228	0.511431	lidar	2.78934	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5397	19.3723	4.72947	2.52885	0.523086	radar	3.23215	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3181	19.5308	4.78032	2.5545	0.520294	lidar	0.842369	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0943	19.613	4.76451	2.612	0.581113	radar	10.1009	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8897	19.7555	4.78446	2.6326	0.570279	lidar	0.771771	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7005	19.8826	4.76271	2.62912	0.486226	radar	3.17653	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4731	20.0345	4.8152	2.64526	0.474107	lidar	1.3419	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2627	20.1755	4.83515	2.65542	0.450179	radar	5.59467	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0737	20.3095	4.82498	2.66477	0.435195	lidar	1.74904	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8433	20.39	4.82388	2.70809	0.479521	radar	2.28385	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6279	20.5099	4.83487	2.724	0.469725	lidar	0.60261	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3924	20.5949	4.84887	2.76602	0.517144	radar	1.3352	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1457	20.6682	4.86393	2.7998	0.52588	lidar	0.771855	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9102	20.7386	4.86989	2.83847	0.558333	radar	0.299625	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.637	20.8	4.91337	2.87536	0.567105	lidar	1.83337	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3913	20.8291	4.91527	2.93535	0.643977	radar	1.92462	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1431	20.8684	4.92001	2.97109	0.647909	lidar	0.148587	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9131	20.9283	4.91115	2.98778	0.617257	radar	1.8989	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7083	20.9726	4.86777	3.01099	0.610595	lidar	1.85705	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4582	21.0135	4.88453	3.03657	0.602484	radar	2.60421	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2102	21.0502	4.89758	3.06124	0.595161	lidar	0.199468	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9729	21.0702	4.89241	3.09156	0.601488	radar	0.887429	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7281	21.0397	4.87845	3.1374	0.621291	lidar	1.75634	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4824	21.0266	4.8756	3.17073	0.619866	radar	1.04806	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.263	21.0204	4.84512	3.19944	0.61877	lidar	0.664585	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0107	20.9817	4.8527	3.23767	0.624008	radar	4.07433	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7971	20.9435	4.81356	3.27386	0.632339	lidar	0.519118	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5462	20.9472	4.81227	3.26581	0.536371	radar	5.76831	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.267	20.9777	4.87715	3.26399	0.497046	lidar	3.44158	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.027	20.9594	4.87663	3.28221	0.48781	radar	0.991999	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.8297	20.9226	4.8179	3.30887	0.493172	lidar	1.70118	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.58956	20.9181	4.8042	3.29704	0.408469	radar	1.80284	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39468	20.8683	4.74721	3.32466	0.419407	lidar	1.19597	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.17071	20.826	4.74066	3.35	0.435243	radar	1.56761	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88365	20.7961	4.8163	3.35808	0.416084	lidar	1.94868	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66714	20.7148	4.79913	3.39856	0.453624	radar	4.66821	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39596	20.631	4.85427	3.42593	0.457804	lidar	2.73646	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16706	20.5495	4.85776	3.45984	0.483391	radar	0.190581	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92666	20.4698	4.87253	3.48321	0.481921	lidar	0.11162	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71135	20.3816	4.87107	3.52365	0.528192	radar	3.56957	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40833	20.3242	4.96966	3.52372	0.491679	lidar	3.41966	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.1769	20.2273	4.97035	3.5464	0.484792	radar	0.216212	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91406	20.1453	5.01361	3.55715	0.466297	lidar	0.696082	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.68807	20.0538	5.00356	3.57212	0.448923	radar	0.424857	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.44041	19.9635	5.02756	3.58403	0.434873	lidar	0.314748	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.22301	19.8694	5.01387	3.60252	0.434362	radar	2.79014	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.96106	19.7771	5.05749	3.60817	0.412865	lidar	0.793931	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.73731	19.6281	5.08597	3.6569	0.476549	radar	2.06832	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55744	19.5043	5.03357	3.68745	0.486518	lidar	1.26445	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.35795	19.3541	5.02586	3.72365	0.506113	radar	1.72059	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14255	19.2525	5.01871	3.73233	0.485221	lidar	1.90562	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94644	19.1424	4.97322	3.73486	0.435211	radar	4.67204	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78256	18.9896	4.92867	3.77132	0.455769	lidar	0.730289	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57649	18.8388	4.95216	3.80006	0.476043	radar	1.44033	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.39737	18.7063	4.92332	3.82003	0.472085	lidar	1.11459	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.21092	18.5658	4.89205	3.82734	0.430273	radar	1.40962	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.08516	18.408	4.81999	3.86755	0.45755	lidar	2.11989	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
