time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445900000	15.062	3.40108	5.3962	0.561762	0.321934	lidar	0.866542	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2717	3.56808	5.16621	0.593705	0.344571	radar	2.60358	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4862	3.75405	5.22111	0.627625	0.365495	lidar	0.450535	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6964	3.88702	5.18857	0.636347	0.353498	radar	1.0663	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.918	4.02458	5.18826	0.643308	0.34023	lidar	0.2404	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1151	4.17576	4.9651	0.662708	0.345671	radar	1.06826	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3077	4.3704	5.02211	0.696914	0.366897	lidar	0.404115	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5194	4.53681	5.16808	0.710206	0.359333	radar	0.764331	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6954	4.70016	5.12841	0.729453	0.360641	lidar	0.484569	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8533	4.86525	4.69661	0.758636	0.379977	radar	2.14999	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0081	5.09488	4.7846	0.80747	0.417242	lidar	0.957232	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1827	5.25023	4.83301	0.816513	0.401419	radar	1.44949	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3354	5.43346	4.82708	0.84145	0.407297	lidar	0.115844	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4963	5.58347	4.75306	0.849409	0.391977	radar	2.56119	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6824	5.70686	4.69369	0.838738	0.354664	lidar	1.12017	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8338	5.88411	4.59729	0.859859	0.360407	radar	0.416552	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0017	6.09064	4.68289	0.883897	0.368669	lidar	1.18914	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1562	6.29462	4.80948	0.906476	0.372823	radar	1.01296	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2761	6.55262	4.90454	0.957939	0.413438	lidar	1.07882	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.411	6.76082	4.86268	0.983362	0.420543	radar	0.295937	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5559	6.89134	4.72639	0.974359	0.382979	lidar	1.19216	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7058	7.10476	4.94791	0.989158	0.374821	radar	0.681741	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9055	7.24547	4.88321	0.963443	0.321005	lidar	3.59041	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0004	7.42369	4.52587	0.991344	0.339605	radar	3.26711	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0839	7.71253	4.68926	1.05405	0.396162	lidar	2.10762	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2077	7.91602	4.78385	1.06757	0.386451	radar	0.296152	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2842	8.14086	4.77799	1.1038	0.406221	lidar	1.27314	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3826	8.35322	4.88058	1.12247	0.400693	radar	2.02732	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4791	8.48899	4.67807	1.11879	0.369761	lidar	2.96476	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5755	8.68528	4.57146	1.1359	0.369485	radar	0.380102	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.735	8.86607	4.56538	1.12291	0.332724	lidar	3.99594	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8164	9.07262	4.42648	1.14846	0.346416	radar	0.760935	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9398	9.32027	4.56071	1.16596	0.349126	lidar	3.58356	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.997	9.51695	4.29523	1.19697	0.370363	radar	1.72796	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0742	9.77776	4.43911	1.23187	0.392055	lidar	1.42551	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1349	10.0368	4.6951	1.26438	0.40429	radar	7.61229	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1777	10.337	4.86586	1.31425	0.441624	lidar	1.23402	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1987	10.5601	4.60947	1.35644	0.472957	radar	2.69055	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2498	10.854	4.79043	1.39413	0.492195	lidar	2.25321	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2736	11.125	4.94574	1.42961	0.503188	radar	4.84959	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3093	11.361	4.92247	1.45108	0.498593	lidar	0.0158648	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2675	11.5853	4.49686	1.51635	0.562116	radar	9.35803	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3353	11.8214	4.53206	1.52272	0.538273	lidar	4.90011	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3531	12.0712	4.92564	1.53356	0.503878	radar	4.06167	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3314	12.3854	5.12146	1.57964	0.530704	lidar	0.894766	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.287	12.6098	4.76955	1.63291	0.577528	radar	2.92441	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3156	12.8365	4.72514	1.64158	0.554262	lidar	1.97645	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3121	13.0537	4.67208	1.66035	0.5428	radar	2.03675	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2799	13.2548	4.58413	1.68782	0.541627	lidar	0.801469	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.243	13.4889	4.69845	1.71292	0.533384	radar	1.368	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2133	13.7665	4.83051	1.73952	0.535594	lidar	1.51	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1649	13.9819	4.69358	1.7719	0.546981	radar	0.758888	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0999	14.2549	4.83376	1.80672	0.557758	lidar	0.467638	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0281	14.4837	4.8449	1.83796	0.559708	radar	1.34657	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9076	14.7602	5.02194	1.8873	0.586245	lidar	1.04252	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8397	14.9783	5.03714	1.90339	0.559754	radar	3.3674	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8247	15.1741	4.83946	1.90498	0.527952	lidar	2.31602	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.718	15.3496	4.34983	1.9718	0.610942	radar	7.04779	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7042	15.5093	4.14457	1.97584	0.579077	lidar	2.64338	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6306	15.69	4.1597	1.99609	0.562107	radar	1.185	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5045	15.9335	4.37269	2.03444	0.576352	lidar	0.535917	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4077	16.1374	4.49964	2.04872	0.544121	radar	1.82222	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2933	16.3228	4.4739	2.08023	0.54854	lidar	0.299195	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1851	16.5087	4.43288	2.10886	0.551885	radar	0.187195	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0284	16.7556	4.6674	2.14393	0.562672	lidar	0.597413	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8726	16.9453	4.56406	2.20709	0.635911	radar	6.76389	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6586	17.2311	4.99557	2.24924	0.651127	lidar	1.96732	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5574	17.4374	4.99763	2.22786	0.546487	radar	5.87443	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3238	17.6538	5.20988	2.27664	0.570106	lidar	3.30895	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.1762	17.8578	5.22717	2.27944	0.517469	radar	2.13025	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0693	18.0182	4.99334	2.29284	0.503534	lidar	1.27257	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.898	18.1659	4.86869	2.33767	0.540635	radar	2.23205	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8028	18.2719	4.52783	2.35736	0.531188	lidar	1.05683	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6854	18.437	4.4452	2.3648	0.502764	radar	6.47673	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4604	18.649	4.74058	2.3939	0.507993	lidar	0.750258	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2896	18.7807	4.65939	2.42981	0.527209	radar	1.76096	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1403	18.9063	4.5314	2.45471	0.52538	lidar	0.142762	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9745	19.0752	4.56227	2.4669	0.504068	radar	3.07804	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7456	19.2023	4.65493	2.50765	0.520527	lidar	2.78528	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.547	19.363	4.74742	2.53158	0.522824	radar	3.28204	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
